错误代码,错误标题,错误描述,常见原因,解决方案,备注
0x80070005,拒绝访问,尝试访问无权限的文件或注册表项,权限不足、UAC拦截、文件被占用,以管理员身份运行、关闭占用程序、修改权限,系统级
0x80070002,系统找不到指定的文件,文件或路径不存在,路径拼写错误、文件被删除、环境变量失效,检查路径、恢复文件、修正变量,常见
0x80070020,文件正在使用中,文件被锁定,程序未释放句柄、病毒扫描、索引服务,重启、关闭相关进程、安全模式下操作,常见
0x80070057,参数错误,传入无效参数,API调用错误、脚本参数格式不对、日期/语言区域设置异常,检查调用文档、修正参数、重置区域,应用级
0x80070070,磁盘空间不足,无法写入数据,磁盘满、临时文件堆积、回收站未清空,清理磁盘、扩容、移动文件,系统级
0x8007000D,数据无效,配置文件或映像损坏,INI/JSON/XML格式错误、升级中断、磁盘坏道,修复文件、重新安装、chkdsk,系统级
0x80070052,无法创建文件或目录,重名或目录已满,FAT32根目录条目耗尽、文件名非法,转NTFS、缩短名、删旧文件,磁盘级
0x80070032,不支持该请求,功能或命令不可用,旧版系统调用新API、驱动不匹配,升级系统/驱动、换用兼容方案,驱动级
0x800700E1,被策略阻止,组策略禁止操作,软件限制策略、Applocker、 Defender隔离,调整策略、添加例外、关闭实时保护,企业环境
0x800700EA,句柄无效,使用已关闭的句柄,编程错误、句柄被系统回收、UAF,检查代码生命周期、使用RAII,开发级
0x8007045D,IO设备错误,读写失败,硬盘坏道、U盘松动、光驱老化,换线、低格、换硬盘,硬件级
0x8007045A,缓冲区溢出,数据超出分配长度,驱动缺陷、恶意输入、缓冲区过小,打补丁、限长输入、升级驱动,安全级
0x80070522,客户端所需的特权尚未被授予,UAC限制,未提权运行、令牌缺失SeBackupPrivilege,右键“以管理员运行”、调令牌,权限级
0x800705AA,系统资源不足,内存或句柄耗尽,内存泄漏、GDI对象未释放、句柄泄漏,重启、优化代码、增加RAM,资源级
0x80070643,安装时发生严重错误,MSI安装失败,前置依赖缺失、残留注册表、防毒拦截,清理残留、关防毒、装运行库,安装级
0x80070652,另一个安装正在进行,Windows Installer忙,MSI事务冲突、服务未结束,重启Installer服务、清理PendingFileRenameOperations,安装级
0x800706BE,远程过程调用失败,RPC通信中断,防火墙拦截、服务禁用、IPSec配置,放行RPC端口、启动RpcSs服务,网络级
0x80070721,安全数据库无法分配,本地安全策略损坏,SAM/SECURITY hive损坏、磁盘错误,sfc /scannow、备份恢复,系统级
0x80070842,网络登录服务未启动,NetLogon停用工域登录,服务被禁用、DC不可达,启动NetLogon、检查DNS/DC,域控级
0x80070907,打印机处理器未知,打印后台服务问题,Spooler崩溃、驱动不兼容、DLL缺失,重启Spooler、重装驱动,打印级
0x80070BC2,无法启用该网络,适配器被禁用或驱动异常,驱动未签名、注册表Network键缺失,更新驱动、netsh int ip reset,网络级
0x80070C00,存储空间不足无法处理命令,系统提交上限耗尽,虚拟内存不足、内存泄漏、分页文件过小,增大页面文件、查泄漏,内存级
0x8007139F,组或资源的状态不是执行请求操作的正确状态,服务未启动或依赖缺失,安装顺序错误、服务被禁用,检查依赖服务、按顺序安装,服务级
0x800713F8,无法完成操作因为文件已在另一进程打开,文件锁冲突,Office临时文件、Outlook PST、病毒扫描,用句柄工具解锁、关程序,常见
0x80071771,指定文件加密系统不支持该操作,Home版尝试EFS,Windows Home无EFS功能,升级专业版、改用BitLocker,版本级
0x80071772,无法解密指定的文件,证书丢失或私钥损坏,用户被删、证书未备份,导入PFX、恢复代理,加密级
0x80072EE7,无法解析服务器名称或地址,DNS解析失败,Hosts错误、DNS服务器宕机、代理配置,刷新DNS、换DNS、关代理,网络级
0x80072EFD,无法连接到服务器,端口被防火墙阻断,Windows防火墙、三方防火墙、IPSec规则,放行端口、关防火墙测试,网络级
0x80072F8F,无法验证服务器证书,SSL/TLS证书过期,系统时间错误、根证书被删、MITM,校准时间、更新根证、检查代理,安全级
0x80072F9D,HTTP 404 未找到,WinHTTP下载失败,WSUS离线、微软下架更新包,换源、手动下载MSU,更新级
0x80073701,组件存储已损坏,WinSxS缺失文件,更新被打断、硬盘坏道、手动删WinSxS,Dism /RestoreHealth、ISO源修复,映像级
0x80073712,组件清单损坏,CBS Manifest缺失,同样本被篡改、升级失败,sfc /scannow、Dism /Cleanup-Image,映像级
0x800F081F,找不到源文件,离线修复缺安装介质,未插ISO、WSUS未同步,挂载ISO /LimitAccess,更新级
0x800F0922,安装失败因为用户取消,实际为.NET安装失败,启用.NET Framework 3.5缺SXS源,指定备用源或联网,功能级
0x800F0906,Windows无法连接到互联网下载文件,离线安装缺包,同上,同上,功能级
0x80092004,找不到对象或属性,证书或CRL下载失败,网络不通、根URL失效,检查网络、手动装根证,证书级
0x80092013,提供程序未能执行操作,加密提供程序错误,CNG KeyIsolation服务未启动、HSM掉线,启动服务、检查HSM,加密级
0x80090005,密钥集不存在,用户配置文件未加载,注册表ProfileList缺失、SID.bak,重建配置文件、删.bak,用户级
0x8009000F,对象已存在,尝试重复创建密钥容器,代码逻辑错误、权限混乱,删除旧容器、改容器名,开发级
0x80090016,无法找到指定的提供程序,智能卡驱动缺失,Minidriver未装、卡未插,装驱动、插卡,智能卡
0x8009001D,数据无效无法导入证书,PFX密码错误或文件损坏,密码含特殊字符被转义、文件传输出错,重新导出/导入,证书级
0x80090305,本地计算机未授权访问此资源,LdapBind失败,匿名绑定被禁、账号无读权限,使用域账号绑定、加权限,LDAP级
0x80090308,指定的目标未知或不可达,Kerberos SPN未注册,SQL Server未注册SPN、DNS无A记录,setspn -A、修正DNS,Kerberos
0x80090322,无法完成登录因为用户名或密码错误,域认证失败,密码过期、时钟偏差>5分钟,重置密码、同步时间,认证级
0x80090324,接收到的令牌在尺寸或类型上无效,NTLMv1被禁用,安全策略仅允许NTLMv2,改策略或升级客户端,安全级
0x80090330,指定的日志会话句柄无效,ETW会话已关闭,Perfmon停掉跟踪、句柄复用,重启跟踪、句柄检查,跟踪级
0x800A0046,拒绝的权限（经典ASP）,IIS匿名账号无写入,NTFS权限不足、池标识错误,给IUSR写权限、改应用池标识,IIS级
0x800A01AD,ActiveX部件无法创建对象,COM未注册、64位进程调32位DLL,regsvr32注册、统一位数,COM级
0x800A138F,未结束的字符串常量,VBS缺少引号,拼写错误、换行符中断,补引号、用& _续行,VBS级
0x800C0005,系统找不到指定的对象,IE历史记录损坏,index.dat被破坏,删低完整性历史、重建用户配置,IE级
0x800CCC0E,无法连接到服务器（Outlook）,SMTP端口465/587被防火墙拦,ISP封25、TLS版本不兼容,换端口、启用TLS 1.2,邮件级
0x800CCC13,无法连接网络（Outlook）,防毒邮件扫描插入DLL,McAfee/AVAST扫描Winsock,关邮件扫描、重装防毒,邮件级
0x800CCC79,SMTP服务器拒绝收件人地址,发件人不在中继白名单,Exchange未授权匿名中继,加IP到接收连接器,邮件级
0x800CCC92,用户名或密码无效（POP3）,账号被锁、需应用密码,Google 2FA开启、密码过期,生成应用密码、解锁账号,邮件级
0x800F020B,安装设备时出错驱动不兼容,INF模型字段不匹配,驱动仅Win10但装Win7,下对应版本驱动,驱动级
0x800F0203,未找到可安装的设备驱动,INF缺失HardwareID,驱动包被精简、ID拼错,换官方驱动、改INF,驱动级
0x800F0920,无法创建系统分区,UEFI安装MBR硬盘,BootMgr无法放EFI分区,转GPT或Legacy模式,安装级
0x800F0900,Windows无法安装到此磁盘,磁盘控制器驱动缺失,Raid驱动未注入,按F6加载驱动或集成ISO,安装级
0x80240007,Windows Update 遇到未知错误,更新元数据损坏,SoftwareDistribution数据过期,停服务删Datastore重试,更新级
0x8024001E,更新下载失败,代理返回空文件,代理缓存损坏、被杀软拦截,绕代理、关杀软、清缓存,更新级
0x8024002E,Windows Update 服务意外终止,WUAUSERV崩溃,内存损坏、DLL被替换,sfc、重装Windows Update组件,更新级
0x80242006,处理更新时出错清单缺失,Delta更新缺Base,累积更新骨架包被删,装完整累积更新包,更新级
0x8024402C,Windows Update 无法连接,代理设置错误,WinHTTP代理指向旧服务器,netsh winhttp reset proxy,更新级
0x80244018,无法下载更新因为代理要求身份验证,ISA/Ntlm代理未配置,未提供域凭据,配代理凭据或直连,更新级
0x80245003,Windows Update 数据库损坏,DataStore.edb损坏,强制关机、磁盘错误,删Datastore、重建,更新级
0x80246008,Windows Update 无法将下载内容复制到目标文件夹,系统保留分区满,WinRE.wim过大、缓存未清理,扩容100MB分区、Dism清理,更新级
0x80248007,Windows Update 服务无法启动,依赖服务Remote Procedure Call未运行,服务被禁用、注册表ImagePath损坏,启动RpcSs、修复ImagePath,服务级
0x80300001,安装无法启动因为计算机的固件不支持安全启动,旧BIOS无Secure Boot,Win11要求Secure Boot,升级固件或关Win11检查,硬件级
0x80300002,无法将Windows安装到GPT分区,Legacy BIOS未开UEFI,主板仅Legacy,转MBR或开UEFI,安装级
0x80300024,无法安装到此磁盘磁盘可能很快失效,SMART报错,硬盘坏道、SSD寿命到,换硬盘、备份数据,硬件级
0x80D02002,Microsoft Store 下载卡住,Delivery Optimization无对等,组策略禁用DO、缓存损坏,开DO、清Store缓存,应用商店
0x80D03805,Store应用无法启动许可证损坏,License.dat被破坏,重置应用、重新登录账号,Store级
0x87D1041C,ConfigMgr应用部署失败内容未分发,DP无包、边界未配置,检查DP状态、加边界组,SCCM级
0xC0000005,访问冲突（蓝屏）,内存违规访问,驱动Bug、硬件损坏、超频,更新驱动、回退频率、内存检测,BSOD
0xC000021A,Winlogon进程意外终止,系统文件损坏或感染,winlogon.exe被替换、注册表SAM坏,sfc、离线修复、重装,BSOD
0xC0000221,STATUS_IMAGE_CHECKSUM_MISMATCH,驱动映像校验失败,下载损坏、磁盘坏道、Rootkit,重新下驱动、chkdsk、杀毒,BSOD
0xC0000098,STATUS_NO_MEMORY,内核内存分配失败,驱动泄漏、页文件过小、物理内存故障,增页面文件、换RAM,BSOD
0xC0000135,无法定位组件,缺少DLL,运行库未装、DLL被删,装VC++运行库、系统还原,启动级
0xC0000142,DLL初始化失败,调用DllMain返回FALSE,依赖DLL缺失、栈溢出,查依赖、增栈大小,启动级
0xC0000374,堆损坏,Heap corruption,双重释放、缓冲区溢出,更新程序、开Application Verifier,开发级
0xC0000409,STATUS_STACK_BUFFER_OVERRUN,栈缓冲区溢出,/GS检测到攻击,打补丁、关溢出测试,安全级
0xC0000602,STATUS_INVALID_IMAGE_FORMAT,映像格式无效,32位进程加载64位DLL、文件损坏,统一位数、重下文件,启动级
0xC0000904,STATUS_REVISION_MISMATCH,安全通道修订不一致,域控/客户端补丁不同步,统一补丁级别,域级
0xC0000906,STATUS_PKU2U_CERT_FAILURE,PKU2U证书验证失败,时间偏差、根证缺失,同步时间、装根证,认证级
0xC004C003,激活服务器确定指定的产品密钥已被使用,密钥已激活其他设备,零售密钥转移未清除,电话激活、联账号转移,激活级
0xC004C008,激活服务器报告产品密钥已超出解锁限制,KMS计数不足,KMS客户端<25,增客户端或调阈值,KMS级
0xC004F074,无法联系任何KMS服务器,DNS未注册SRV,KMS主机未创建_SRV记录,手动建SRV、关防火墙,KMS级
0xC004F038,软件授权服务报告无法激活计算机,缺少确认ID,电话激活步骤中断,重拨电话完成流程,激活级
0xC004F039,软件授权服务报告产品密钥无效,密钥错字或版本错,Win7密钥用于Win10,换对应版本密钥,激活级
0xC004F050,软件授权服务报告产品密钥无效（格式）,密钥含非法字符,手打密钥易错,复制粘贴、重买密钥,激活级
0xC004F06C,软件授权服务报告无法激活计算机硬件哈希不匹配,重大硬件更换,主板CPU同时换,联账号疑难解答,激活级
0xC004F210,软件授权服务报告许可证未安装,系统无默认密钥,裸镜像未插key,用slmgr /ipk装密钥,激活级
0xC004F211,软件授权服务报告许可证已过期,批量许可到期,KMS租期180天到期,续订或连新KMS,激活级
0xC004F212,软件授权服务报告无法激活计算机,非核心版尝试激活专业,版本不匹配,重装对应版本,激活级
0xC00D11B1,Windows Media Player 无法播放文件缺少编解码器,无HEVC/MPEG2解码器,系统未装扩展,买HEVC扩展、用VLC,多媒体
0xC00D36FA,无法播放受保护内容,DRM组件损坏,PlayReady未更新,重置WMP、更新DRM,多媒体
0xC00D5212,显示驱动程序似乎过于陈旧,GPU驱动不支持DXVA,驱动版本< WDDM 2.0,升级显卡驱动,多媒体
0xD0000034,STATUS_OBJECT_NAME_NOT_FOUND,对象名不存在,注册表键被删、文件被移,恢复默认键、重新创建,系统级
0xD0000135,STATUS_DLL_NOT_FOUND,DLL加载失败,同上C0000135,同上,同上
0xE0000100,安装程序无法将Windows配置为在此计算机的硬件上运行,驱动签名缺失,Intel RST需特定驱动,注入IRST驱动,安装级
0xE0000234,Windows To Go 启动失败,USB盘写入慢、I/O超时,盘速< 20MB/s、控制器不兼容,换高速U盘、用认证盘,WTG级
0xE0000235,Windows To Go 工作区无法检查内部错误,BitLocker与WTG冲突,启用BitLocker后拔盘,暂停BitLocker再启动,WTG级
0xE06D7363,Microsoft C++ 异常,未捕获的C++异常,代码throw未catch,加try/catch或更新库,开发级
0xE10600B4,OneDrive 同步错误文件名含保留字,文件叫CON/AUX/PRN,Windows保留名称,改名后同步,OneDrive
0xE4010640,OneDrive 无法连接到服务器,TLS 1.0被禁用,Server 2012默认关TLS1.0,启用TLS 1.0或升级服务端,OneDrive
0xE8000003,Windows Mobile 连接错误,WMDC驱动未签,Win10缺中心驱动,装WMDC 6.1、签驱动,移动同步
0xE8000013,Windows Mobile 无法启动服务,RAPI服务未启动,ActiveSync被禁用,启动WMDC服务,移动同步
0xE_FAIL,通用失败（0x80004005）,未具体说明的COM错误,权限、文件缺失、配置错,看详细日志、逐项排查,通用
0xE_INVALIDARG,一个或多个参数无效,参数越界或空,脚本传参错、API限制,查文档、打印参数,开发级
0xE_OUTOFMEMORY,内存不足,分配失败,32位进程达2GB、泄漏,转64位、查泄漏,开发级
0xE_POINTER,无效指针,空指针解引用,未初始化指针,加非空判断,开发级
0xE_ACCESSDENIED,访问被拒绝,COM对象权限不足,未提权调用DCOM,改DCOM启动权限,COM级
0xE_HANDLE,无效句柄,关闭后仍使用,句柄复用、UAF,检查生命周期,开发级
0xE_UNEXPECTED,意外的失败,状态不一致,COM状态机错乱,重启进程、重初始化,COM级
0xE_FILENOTFOUND,文件未找到,同0x80070002,同上,同上,同上
0xE_PATHNOTFOUND,路径未找到,目录层级不存在,中间目录缺失,先mkdir,同上
0xE_NOTIMPL,未实现,接口方法返回E_NOTIMPL,旧版DLL无新接口,升级组件、降级调用,兼容级
0xE_ABORT,操作被中止,用户取消或超时,UI线程阻塞、用户点取消,优化线程、增超时,UI级
0xE_TIMEOUT,操作超时,网络或服务无响应,默认30秒DCOM超时,调长超时、查网络,网络级
0xE_BUSY,资源正忙,COM对象单线程,STA线程被阻塞,换MTA或异步,COM级
0xE_NOINTERFACE,不支持此接口,QueryInterface失败,接口未实现、IID错,确认IID、换组件,COM级
0xE_DATAFLOW,数据流中断,管道或Socket断开,网卡节能、代理断链,关网卡省电、重连,网络级
0xE_RESOURCEEXISTS,资源已存在,创建重复键,注册表键、文件重名,先删除再建,通用
0xE_RESOURCEINUSE,资源正在使用,同上0x80070020,同上,同上,同上
0xE_UNABLE_TO_LOCK,无法锁定卷,卷正在使用,chkdsk /f需独占,重启自动运行,磁盘级
0xE_UNABLE_TO_UNLOAD,无法卸载介质,句柄未关闭,资源管理器占用,关窗口再卸载,可移动
0xE_MEDIA_WRITEPROTECTED,介质受写保护,U盘物理开关、策略,关开关或改注册表,可移动
0xE_VOLUME_DIRTY,卷处于脏状态,意外断电,NTFS日志未清空,chkdsk /f,磁盘级
0xE_BAD_IMPERSONATION,模拟级别无效,DCOM身份模拟不足,匿名被禁止,调模拟级别至标识,COM级
0xE_SECPKG_NOT_FOUND,安全包未找到,SSP缺失或禁用,ncryptsslp.dll被删,sfc /scannow,安全级
0xE_LOGON_FAILURE,登录失败,账号或密码错,域控不可达、缓存凭据过期,检查域连接、清缓存重新登录,认证级
0xE_ACCOUNT_LOCKED_OUT,账号已锁定,策略锁5次失败,用户输错密码,等解锁或管理员解锁,认证级
0xE_PASSWORD_EXPIRED,密码已过期,策略强制周期,用户长期未改,提醒修改,认证级
0xE_INVALID_LOGON_HOURS,登录时间受限,域策略限制时段,非允许时间登录,调整策略或时间,认证级
0xE_INVALID_WORKSTATION,用户无法从此工作站登录,策略绑定到特定计算机,名拼写错、未加入列表,修正工作站名,认证级
0xE_ACCOUNT_DISABLED,账号已禁用,管理员禁用,离职或安全,联系IT启用,认证级