错误类型,错误描述,产生原因
语法错误,缺少分号,语句结束时未添加分号分隔
语法错误,括号不匹配,大括号、小括号或中括号开启后未正确闭合
语法错误,字符串未闭合,字符串常量使用双引号/单引号开启后未闭合
语法错误,注释未闭合,多行注释/*...*/或文档注释/**...*/未正确结束
语法错误,关键字使用错误,将Java关键字(如class、public、int)用作标识符
语法错误,数据类型声明错误,变量声明时使用不存在的数据类型或拼写错误(如int写成Int)
语法错误,方法参数列表格式错误,方法参数之间未用逗号分隔或存在多余逗号
语法错误,条件表达式缺少括号,if/for/while等语句的条件表达式未用小括号包裹
语法错误,switch语句缺少break,case分支后未添加break导致穿透执行(语法合法但逻辑错误)
语法错误,case值重复,switch语句中多个case使用相同的常量值
语法错误,default语句位置错误,switch语句中default语句位于case之前且未加break
语法错误,构造方法名与类名不一致,构造方法名称拼写错误或与类名大小写不匹配
语法错误,方法返回值类型不匹配,有返回值的方法未return对应类型的值或return类型错误
语法错误,try-catch-finally结构不完整,try块后未跟catch块或finally块(Java 7+允许try-with-resources)
语法错误,异常捕获顺序错误,先捕获父类异常(如Exception)再捕获子类异常(如NullPointerException)
语法错误,泛型类型参数缺失,使用泛型类/接口时未指定类型参数(如List写成List而非List<String>)
语法错误,泛型上限下限错误,泛型边界声明使用错误关键字(如extends写成extend,super写成sup)
语法错误,静态导入错误,静态导入未指定静态成员或导入不存在的静态成员
语法错误,包声明错误,包声明语句不在Java文件第一行(注释除外)或包名格式非法
语法错误,导入语句位置错误,导入语句位于包声明之前或类定义之后
语法错误,类修饰符冲突,类同时使用public和private修饰符
语法错误,方法修饰符冲突,方法同时使用abstract和final/static修饰符
语法错误,变量修饰符冲突,局部变量使用static/protected/private修饰符
语法错误,接口中存在非抽象方法,接口中直接定义有方法体的方法(Java 8前不允许,未使用default/static)
语法错误,抽象类中抽象方法有方法体,抽象方法使用abstract修饰但包含{}方法体
语法错误,数组初始化格式错误,数组初始化时使用错误的大括号位置或缺少new关键字
语法错误,增强for循环语法错误,增强for循环格式错误(如for(String s : list)写成for(String s in list))
语法错误,lambda表达式语法错误,lambda表达式参数列表缺少括号(多个参数时)或箭头符号错误
语法错误,方法引用语法错误,方法引用使用错误的::语法或引用不存在的方法
语法错误,注解使用错误,注解参数格式错误或使用不存在的注解
语法错误,枚举类定义错误,枚举常量后未加逗号分隔或存在非法成员
编译错误,变量未初始化,局部变量声明后未赋值直接使用(成员变量有默认值)
编译错误,变量重复声明,同一作用域内重复声明同名变量
编译错误,方法重复定义,同一类中存在方法名和参数列表完全相同的方法(重载不合法)
编译错误,访问权限不足,试图访问其他类的private成员或default成员(不同包)
编译错误,类未找到,使用未导入的类或类所在包未正确配置
编译错误,方法未定义,调用不存在的方法或方法名拼写错误
编译错误,字段未定义,访问不存在的类字段或字段名拼写错误
编译错误,参数数量不匹配,调用方法时传入的参数个数与方法声明不一致
编译错误,参数类型不匹配,调用方法时传入的参数类型与方法声明不兼容
编译错误,返回值被忽略(强制要求处理),调用返回值为void的方法时试图接收返回值
编译错误,泛型类型不兼容,将不兼容的泛型类型赋值(如List<Integer> = new ArrayList<String>)
编译错误,数组类型不匹配,数组赋值时类型不兼容(如String[] = new int[])
编译错误,转型错误,非法的类型转换(如将String强制转为Integer)
编译错误,静态方法调用非静态成员,静态方法中直接访问非静态变量或非静态方法
编译错误,非静态方法调用静态成员(语法允许但逻辑错误),非静态方法通过对象调用静态成员(应直接通过类名调用)
编译错误,接口不能实例化,试图使用new关键字创建接口对象
编译错误,抽象类不能实例化,试图使用new关键字创建抽象类对象
编译错误,构造方法不能被继承,子类试图重写父类的构造方法
编译错误,构造方法不能有返回值,构造方法声明时指定了返回值类型(包括void)
编译错误,finally块中使用return,finally块中包含return语句导致try/catch中的return失效
编译错误,资源未关闭(try-with-resources未使用),使用需要关闭的资源(如InputStream)未在finally中关闭
编译错误,注解目标错误,将注解应用到不允许的目标(如将@Override用于类)
编译错误,枚举常量不能修改,试图修改枚举常量的字段值(枚举应设计为不可变)
运行时错误,空指针异常(NullPointerException),调用null对象的方法、访问null对象的字段或数组
运行时错误,数组下标越界异常(ArrayIndexOutOfBoundsException),访问数组时使用负数下标或超出数组长度的下标
运行时错误,字符串索引越界异常(StringIndexOutOfBoundsException),访问字符串字符时索引超出字符串长度
运行时错误,类型转换异常(ClassCastException),运行时将对象转为不兼容的类型(如将Object[]转为String[])
运行时错误,算术异常(ArithmeticException),整数除法中除数为0或取模运算中除数为0
运行时错误,数字格式异常(NumberFormatException),将非数字字符串转为数值类型(如Integer.parseInt("abc"))
运行时错误,非法参数异常(IllegalArgumentException),方法接收非法的参数值(如Collections.sort(null))
运行时错误,非法状态异常(IllegalStateException),对象处于不适合操作的状态(如未初始化就调用方法)
运行时错误,并发修改异常(ConcurrentModificationException),遍历集合时通过非迭代器方法修改集合(如for循环中remove元素)
运行时错误,没有这样的元素异常(NoSuchElementException),迭代器遍历到末尾后继续调用next()
运行时错误,超时异常(TimeoutException),等待操作超时(如线程睡眠、锁等待)
运行时错误,中断异常(InterruptedException),线程在睡眠、等待时被中断
运行时错误,文件未找到异常(FileNotFoundException),试图读取不存在的文件或路径错误
运行时错误,IO异常(IOException),输入输出操作失败(如文件读写权限不足、网络中断)
运行时错误,连接异常(SocketException),网络连接失败或中断
运行时错误,SQL异常(SQLException),数据库操作失败(如SQL语法错误、连接超时)
运行时错误,空指针异常(集合操作),调用空集合的某些方法(如List.get(0)当List为null时)
运行时错误,数组长度为0异常,访问长度为0的数组的元素
运行时错误,未找到方法异常(NoSuchMethodException),反射调用不存在的方法
运行时错误,未找到字段异常(NoSuchFieldException),反射访问不存在的字段
运行时错误,非法访问异常(IllegalAccessException),反射访问不可访问的成员(如private方法)
运行时错误,实例化异常(InstantiationException),反射实例化抽象类或接口
运行时错误,InvocationTargetException,反射调用方法时方法内部抛出异常
运行时错误,类转换异常(反射),反射获取的对象转为目标类型失败
运行时错误,资源泄露(ResourceLeak),未关闭资源导致系统资源耗尽(如数据库连接未关闭)
运行时错误,内存溢出异常(OutOfMemoryError),JVM内存不足(如创建大量对象未回收、数组过大)
运行时错误,栈溢出异常(StackOverflowError),递归调用过深或方法调用栈过深
运行时错误,类未找到错误(ClassNotFoundException),运行时找不到所需的类(如类路径配置错误、jar包缺失)
运行时错误,链接错误(LinkageError),类依赖的类版本不兼容或存在重复类
运行时错误,初始化错误(InitializationError),类初始化过程中抛出异常
运行时错误,线程死锁(Deadlock),多个线程互相持有对方需要的锁且不释放
运行时错误,活锁(Livelock),多个线程互相响应但无法推进执行
运行时错误,饥饿(Starvation),线程长期无法获得所需资源(如低优先级线程)
运行时错误,日期格式异常(IllegalArgumentException),SimpleDateFormat使用错误的格式字符串
运行时错误,时区异常(IllegalArgumentException),使用不存在的时区ID创建TimeZone对象
运行时错误,正则表达式语法错误(PatternSyntaxException),正则表达式格式非法
运行时错误,集合转换异常,将不可修改集合转为可修改集合后执行修改操作(如Collections.unmodifiableList)
运行时错误,映射键不存在异常(NoSuchElementException),通过Map.getOrDefault外的方式获取不存在的键
运行时错误,线程中断异常未处理,忽略InterruptedException导致线程状态异常
运行时错误,序列化异常(NotSerializableException),试图序列化未实现Serializable接口的对象
运行时错误,反序列化异常(InvalidClassException),反序列化时类版本不匹配或类结构变化
运行时错误,密码错误异常(AuthenticationException),数据库、网络服务等认证失败
运行时错误,权限被拒绝异常(SecurityException),程序试图执行无权限的操作(如访问系统文件、修改注册表)
运行时错误,端口被占用异常(BindException),网络程序试图绑定已被占用的端口
运行时错误,缓冲区溢出异常(BufferOverflowException),向缓冲区写入超过其容量的数据
运行时错误,缓冲区下溢异常(BufferUnderflowException),从缓冲区读取超过其可用数据的数据
运行时错误,非法字符异常(IllegalCharacterException),使用非法字符(如文件路径中的特殊字符)
运行时错误,编码解码异常(UnsupportedEncodingException),使用不支持的字符编码(如"GBK2312"写成"GBK-2312")
运行时错误,URL格式异常(MalformedURLException),创建URL对象时使用非法的URL格式
运行时错误,URI格式异常(URISyntaxException),创建URI对象时使用非法的URI格式
运行时错误,zip文件异常(ZipException),读取损坏的zip/jar文件
运行时错误,图片格式异常(IllegalArgumentException),ImageIO读取不支持的图片格式
运行时错误,字体未找到异常(FontFormatException),加载不存在或损坏的字体文件
运行时错误,音频格式异常(UnsupportedAudioFileException),AudioSystem读取不支持的音频文件
运行时错误,并发修改异常(迭代器),使用迭代器遍历集合时通过迭代器以外的方式修改集合
运行时错误,空字符串转换异常,将空字符串转为数值类型(如Double.parseDouble(""))
运行时错误,BigDecimal除法未指定精度,BigDecimal.divide()未指定舍入模式导致除不尽
运行时错误,日期转换异常,将不符合格式的字符串转为Date对象(如"2025-13-01")
运行时错误,集合为空时调用stream(),对null集合调用stream()方法
运行时错误,Optional.get()无值,Optional对象为空时调用get()方法未先判断
运行时错误,线程池关闭后提交任务,线程池shutdown()后继续submit()任务
运行时错误,锁未释放,获取锁后未在finally中释放导致死锁
运行时错误,数据库连接池耗尽,未归还数据库连接导致连接池无可用连接
运行时错误,网络超时异常(SocketTimeoutException),网络操作超出指定超时时间
运行时错误,HTTP请求异常(HttpException),HTTP请求失败(如404、500状态码)
运行时错误,JSON解析异常(JsonParseException),JSON字符串格式非法无法解析
运行时错误,JSON映射异常(JsonMappingException),JSON字段与Java对象字段无法映射
运行时错误,XML解析异常(SAXException),XML文件格式非法无法解析
运行时错误,反射权限不足,模块化项目中反射访问其他模块的成员未开放权限
运行时错误,本地方法调用异常(UnsatisfiedLinkError),JNI调用的本地库缺失或版本不兼容
运行时错误,系统资源不足(OutOfResourcesError),系统文件句柄、端口等资源耗尽
运行时错误,类加载器冲突,多个类加载器加载同一类导致类型不兼容
运行时错误,线程状态异常(IllegalThreadStateException),对线程执行非法操作(如对运行中的线程调用start())